id,gender,age,aum227,aum306
1,M,52,219481.95,183186.95
2,M,32,236183.79,228428.96
3,M,22,0.06,1977.68
4,F,21,420.26,392.47
5,M,32,149.65,149.65
6,F,34,231.42,22154.4
7,M,40,2321.92,7858.7
8,M,24,0.17,0.66
9,M,36,49211.38,35943.42
10,M,36,269.77,269.77
11,M,38,3.4,43.6
12,M,40,251412.48,264923.79
13,M,43,13683.44,10674.74
14,M,45,52393.53,22948.31
15,M,33,231.61,734.78
16,M,20,351.33,10.33
17,F,23,0,630.46
18,M,38,1486.43,1651.43
19,M,36,40.23,2882.98
20,F,37,55177.07,55204.41
21,M,18,891.86,104.47
22,M,24,3981.15,1281.15
23,M,27,161.3,238.96
24,M,30,0,0
25,M,48,8148.08,7009.38
26,M,34,0.73,0.73
27,M,30,276688.05,265550.86
28,M,39,68852.49,92670.94
29,M,31,155233.64,75052.56
30,M,29,0,0
31,M,39,139.65,139.65
32,M,33,78107.3,35483.73
33,M,33,5349.94,0.19
34,F,40,1338.14,62357.35
35,F,39,10547.58,10462.47
36,M,36,9368.5,4587.25
37,M,37,73020.45,73001.64
38,F,29,59.23,59.23
39,M,29,60143.12,73323.33
40,M,39,114.66,60.2
41,M,29,21.17,21.17
42,M,46,1401.02,101.02
43,M,26,0,0
44,M,23,834.99,0
45,F,44,112.09,112.09
46,M,32,5806.04,4531.4
47,M,43,190591.82,185631.82
48,M,31,1763.34,1676.34
49,M,33,65.93,65.93
50,M,30,4159.12,8098.6
51,F,23,6.96,1.82
52,M,26,41441.36,41441.36
53,M,33,21.6,21.6
54,M,31,561.49,162.14
55,M,30,1000.99,1002.31
56,M,31,3878.67,1285.86
57,M,24,3673.54,2807.52
58,M,25,13.03,13.03
59,M,37,28.82,71.9
60,F,40,66.4,13.91
61,M,22,0.99,0.99
62,M,41,1587.73,4036.25
63,F,27,0,0.13
64,M,31,184997.29,572632.41
65,M,26,5514.48,6154.59
66,M,30,11786.05,12012.39
67,F,26,1046590.77,1041464.2
68,M,37,47489.28,10755.28
69,F,43,38175.39,19028.46
70,F,34,11.06,753.68
71,M,26,1638.35,1374.89
72,F,35,1169.2,1286.69
73,M,31,171992.14,172384.66
74,F,34,0,0
75,M,21,526.42,1071.97
76,M,28,2.27,2.27
77,F,28,1278.19,4254.74
78,M,37,1736.94,3198.94
79,M,35,19319.06,37144.16
80,M,34,6482.32,10866.7
81,M,36,1644.91,47.03
82,M,33,46711.38,32013.38
83,F,33,4.26,4.26
84,F,43,2313806.44,1313060.77
85,M,23,5912.31,6187.21
86,F,37,2.53,609.29
87,M,31,3003.58,61.48
88,M,31,0,0
89,M,34,0,0
90,M,31,602.49,338.69
91,F,31,431345.16,393944.36
92,M,34,2783.22,283.22
93,M,29,6191.24,6043.34
94,M,29,1368.61,1221.04
95,M,26,0,0
96,M,24,0.47,0.47
97,F,25,0.27,0.27
98,M,38,566.64,42.64
99,M,23,5228.82,3262.31
100,M,26,121.31,885.39
101,M,29,0,0
102,M,29,95415.85,95669.39
103,F,33,406.32,14456.02
104,M,30,42549.41,42864.46
105,M,39,0.19,0.19
106,M,29,0.85,13.56
107,M,41,93549.52,91592.46
108,M,37,470364.51,470364.49
109,M,28,0.03,0.03
110,M,44,9.22,37.39
111,M,29,164.76,220.82
112,F,56,506671.45,509506.87
113,M,26,18855.21,16870.07
114,M,32,4.8,1.39
115,F,26,224.28,0.68
116,M,35,0,0
