g2_id,g2_nam,g2_dnam
1000,现金存入类,现金存入类摘要
1001,商品销售,商品销售收入
1002,代售书本,学校代售书本收入
1003,伙食收入,单位伙食费收入
1004,药费收入,医疗机构药费收入
1005,勤工俭学,学校勤工俭学产品收入
1006,餐饮收入,饮食业收入
1007,旧房收入,拆旧房变卖废料收入
1008,其他销售,其他商品性销售收入
1009,燃油费,加油站燃油
1010,医疗器材,医疗器材收入
1011,政府性基金,其他政府性基金收入
1020,交通运输,交通运输、交通工具租赁收入
1021,文化教育,文化教育收入
1022,医疗卫生,医疗卫生收入
1023,学杂费,学杂费收入
1024,公共事业,公共事业收入
1025,文娱收入,文娱收入
1026,生活服务,生活服务收入
1027,手续费,手续费收入
1028,管理费,管理费收入
1029,住房公积,住房公积金、保证金收入
1030,邮政电信费,邮政电信、网络服务费用收入
1031,社保基金,养老统筹、失业保险、生育基金、医疗保险、农村合作医疗等社保收
1032,其他服务,其他服务性收入
1033,酒店营业款,无法区分来源的酒店营业
1034,工资性收入,工资性收入
1050,财税收入,税款、财政性收入
1051,行政收费,行政收费
1052,国土管理费,国土资源部门收取的土地租赁费、配套费、土地登记费、征地管理费
1053,城建规划费,城建、房管部门收取的城市规划费、产权登记费收入
1054,司法收费,公安、司法部门收取的户籍、机动车、年检、公证、诉讼费用收入
1055,卫生许可费,卫生监测、卫生许可费收入
1056,进网许可费,信息产业部的进网许可费收入
1057,注册登记费,工商行政管理部门收入的企业注册登记等各种手续费、管理费收入
1058,其他行政费,各种工本费、评审费、培训费、考务费、招聘费、检验费、报关费和
1059,交通建设费,公路养路费、铁路建设基金、机场建设费收入
1060,教育基金,文教部门附加、教育基金收入
1061,党费收入,党费收入
1062,团费收入,团费收入
1063,工会费,工会费收入
1064,多支退款,多支退款收入
1065,售房收入,售房收
1066,罐装液化气,罐装液化气
1067,房租水电,房租、水电、采暖等收入
1068,保险费收入,保险公司的保费收入
1069,典当行收入,典当行业的收入
1070,捐献赞助收,个人捐献、赞助收入
1071,购房保证金,购房保证金
1072,管道煤气,管道煤气收入
1073,验资款收入,企业和个人验资款
1074,个贷款归还,归还个人贷款收入
1075,销售国债款,代理销售国债款
1076,销售基金款,代理销售基金款
1077,个人投资款,个人投资款
1078,个人借款,个人借款
1080,取现冲正,单位结算户柜台取现交易冲正
1091,银行手续费,银行收取客户的手续费
1092,汇款及收费,客户交存的汇款本金及手续费
1093,银行收费,我行收取客户的费用
1099,其他收入,其他收入
2000,现金支出类,
2001,工资奖金,国家工资及奖金支出
2002,个人其他,国家对个人其他支出
2003,部队存款,部队存款支出
2004,其他工资,其他单位工资性支出
2005,加班工资,加班、加点工资
2006,补贴津贴,不受物价上涨支付的各种补贴、工资性津贴
2007,交通补贴,上下班交通补贴及洗理费
2008,洗理费支出,洗理费
2009,离退休工资,离休、退休、退职人员待遇的各项支出
2010,伙食补助,伙食补助费、误餐补助
2011,保险赔偿,保险公司对个人的赔偿支出
2012,集体民营,集体民营企业工资奖金
2020,工矿产品,工矿产品采购支出
2021,农副采购,农副产品采购支出
2051,差旅费,差旅费支出
2052,水电费,水电费支出
2053,邮电费,邮电费支出
2054,流通费,商品流通费支出
2055,车辆费,车辆使用费支出
2056,修理费,修理费支出
2057,书报费,书报费支出
2058,印刷费,印刷费支出
2059,其他费用,其他管理费支出
2061,备用金,备用金
2062,党费支出,党费支出
2063,团费支出,团费收入
2064,工会费支出,工会费支出
2065,捐献赞助支,个人捐献、赞助支出
2066,保险费支出,各种保险（车险、人身险等）支出
2071,汇款支出,解付给客户的汇款
2074,个贷款支取,提取个人贷款支出
2075,兑付国债款,代理兑付销售国债款
2076,基金赎回款,代理赎回销售基金款
2080,存现冲正,单位结算户柜台存现交易冲正
2099,其他支出,其他支出
3000,现金收付类,
3001,个体经营,城乡个体经营收支
3011,储蓄存款,储蓄存款收支
3021,其他同业,其他金融机构收支
3031,居民贷款,居民贷款收支
3041,邮局汇兑,邮局汇兑收支
3051,有价证券,有价证券收支
3061,储蓄备用金,储蓄代办所备用金
3071,兑换外币,兑换外币收支
3081,现金调剂,现金调剂
3082,新旧系统,新旧系统现金调缴
3083,系统内调缴,系统内现金调缴
3091,同业往来,同业往来
3101,发行库,人行发行库往来
3111,业务库,国家银行业务库往来
3121,信用社,信用社及其他银行往来
3131,其他银行,其他股份制银行往来
3141,其他同业,其他非银行金融机构往来
3200,其他收支,其他收入、支出
8000,普通转账类,普通转账类摘要码
